"county","countyfips","region","Population_2010","Births_2010","Deaths_2010","NetMig_2010","GQ_2010","Population_2011","Births_2011","Deaths_2011","NetMig_2011","GQ_2011","Population_2012","Births_2012","Deaths_2012","NetMig_2012","GQ_2012","Population_2013","Births_2013","Deaths_2013","NetMig_2013","GQ_2013","Population_2014","Births_2014","Deaths_2014","NetMig_2014","GQ_2014","Population_2015","Births_2015","Deaths_2015","NetMig_2015","GQ_2015","Population_2016","Births_2016","Deaths_2016","NetMig_2016","GQ_2016"
"OURAY COUNTY","91",10,4446,10,7,7,0,4422,29,19,-34,0,4510,33,20,75,0,4544,32,33,35,0,4582,34,44,48,0,4647,21,29,73,0,4844,34,32,195,0
"PARK COUNTY","93",4,16262,30,20,46,0,16096,117,83,-200,0,16052,109,77,-76,0,16188,97,73,112,0,16356,96,84,156,0,16716,115,90,335,0,17285,118,97,548,0
"PHILLIPS COUNTY","95",1,4465,15,14,22,0,4373,51,61,-82,0,4384,55,50,6,0,4359,41,49,-17,0,4379,65,49,4,0,4307,57,55,-74,0,4285,68,45,-45,0
"PITKIN COUNTY","97",12,17156,35,10,-17,0,17125,175,53,-153,0,17222,128,51,20,0,17390,124,43,87,0,17623,132,57,158,0,17845,127,54,149,0,17773,146,64,-154,0
"PROWERS COUNTY","99",6,12531,46,31,-35,0,12467,142,149,-57,0,12380,188,127,-148,0,12271,167,118,-158,0,12023,145,103,-290,0,11905,165,127,-156,0,11841,185,149,-100,0
"PUEBLO COUNTY","101",7,159496,518,386,301,0,160157,1865,1651,441,6,160759,1878,1591,137,178,161085,1852,1622,131,-35,161618,1921,1628,288,-48,163196,1874,1737,1456,-15,165109,1850,1706,1770,-1
"RIO BLANCO COUNTY","103",11,6617,25,11,-63,0,6696,106,40,103,-90,6774,73,55,-66,126,6722,81,52,-87,6,6626,70,58,-90,-18,6529,83,53,-127,0,6497,75,61,-46,0
"RIO GRANDE COUNTY","105",8,12001,42,31,8,0,11905,143,122,-117,0,11865,127,127,-40,0,11696,150,129,-190,0,11542,149,114,-189,0,11413,127,130,-126,0,11424,137,126,0,0
"ROUTT COUNTY","107",11,23439,62,22,-110,0,23237,228,88,-345,3,23257,216,92,-71,-33,23550,202,101,160,32,24010,208,105,348,9,24310,214,100,199,-13,24679,246,104,217,10
"SAGUACHE COUNTY","109",8,6144,16,12,17,0,6184,79,37,-2,0,6316,79,29,82,0,6221,73,32,-136,0,6171,55,46,-59,0,6219,78,60,30,0,6404,77,48,156,0
"SAN JUAN COUNTY","111",9,709,1,1,10,0,693,8,8,-16,0,692,3,2,-2,0,700,1,5,12,0,719,7,3,15,0,696,6,6,-23,0,698,5,3,0,0
"SAN MIGUEL COUNTY","113",10,7356,16,5,-14,0,7477,76,18,63,0,7570,72,31,52,0,7629,68,25,16,0,7751,69,26,79,0,7843,68,22,46,0,8000,68,27,116,0
"SEDGWICK COUNTY","115",1,2367,5,9,-8,0,2367,29,41,12,0,2370,21,38,20,0,2343,27,29,-25,0,2331,26,32,-6,0,2389,24,54,88,0,2421,29,35,38,0
"SUMMIT COUNTY","117",12,28073,72,13,20,0,27954,308,54,-373,0,28213,309,57,7,0,28660,248,53,252,0,29213,271,68,350,0,29928,271,68,512,0,30367,295,64,208,0
"TELLER COUNTY","119",4,23441,50,38,79,0,23294,222,134,-235,0,23349,154,144,45,0,23271,165,125,-118,0,23402,195,174,110,0,23431,192,181,18,0,24154,191,171,703,0
"WASHINGTON COUNTY","121",1,4815,14,10,-3,0,4789,40,53,-13,0,4716,40,50,-63,0,4765,35,42,56,0,4772,47,51,11,0,4834,47,50,65,0,4875,57,66,50,0
"WELD COUNTY","123",2,254230,950,338,793,0,258551,3749,1434,2029,-23,263924,3795,1456,3059,-25,269981,3815,1566,3808,0,275845,3961,1616,4605,-1086,284571,4083,1727,6100,270,294397,4254,1734,7306,0
"YUMA COUNTY","125",1,10032,32,23,-20,0,10118,155,118,49,0,10082,157,112,-81,0,10157,140,92,-10,37,10178,142,78,-39,-4,10052,142,97,-171,0,10082,145,100,-20,5
"COLORADO STATE","0",0,5050332,16822,7851,9448,0,5119557,65923,32017,33536,1783,5191105,64733,32763,40341,-763,5268432,64735,33624,45167,1049,5350137,65711,34004,49925,73,5448074,66339,36213,65880,1931,5538199,66559,36502,60738,-670
"ADAMS COUNTY","1",3,443711,1859,618,867,0,451749,7244,2462,3255,1,460064,6923,2750,4156,-14,469477,7171,2798,5026,14,479777,7044,2714,5864,106,489923,7361,2957,5747,-5,497673,7168,2925,3452,55
"ALAMOSA COUNTY","3",8,15474,62,32,-1,0,15679,234,131,102,0,15687,208,118,-82,0,15804,223,146,40,0,15845,240,126,-198,125,15968,215,128,36,0,16131,200,140,103,0
