"county","countyfips","region","Population_2010","Births_2010","Deaths_2010","NetMig_2010","GQ_2010","Population_2011","Births_2011","Deaths_2011","NetMig_2011","GQ_2011","Population_2012","Births_2012","Deaths_2012","NetMig_2012","GQ_2012","Population_2013","Births_2013","Deaths_2013","NetMig_2013","GQ_2013","Population_2014","Births_2014","Deaths_2014","NetMig_2014","GQ_2014","Population_2015","Births_2015","Deaths_2015","NetMig_2015","GQ_2015"
"OURAY COUNTY","91",10,4446,10,7,7,0,4424,29,19,-32,0,4516,33,20,79,0,4544,32,33,29,0,4592,34,44,58,0,4658,21,29,74,0
"PARK COUNTY","93",4,16262,30,20,46,0,16085,117,83,-211,0,16032,109,77,-85,0,16149,97,73,93,0,16312,96,84,151,0,16659,115,90,322,0
"PHILLIPS COUNTY","95",1,4465,15,14,22,0,4374,51,61,-81,0,4384,55,50,5,0,4361,41,49,-15,0,4380,65,49,3,0,4331,57,55,-51,0
"PITKIN COUNTY","97",12,17156,35,10,-17,0,17125,175,53,-153,0,17226,128,51,24,0,17388,124,43,81,0,17622,132,57,159,0,17845,127,54,150,0
"PROWERS COUNTY","99",6,12531,46,31,-35,0,12459,142,149,-65,0,12364,188,127,-156,0,12258,167,118,-155,0,12004,145,103,-296,0,11893,165,127,-149,0
"PUEBLO COUNTY","101",7,159496,518,386,301,0,160258,1865,1651,542,6,160868,1878,1591,145,178,161207,1852,1622,144,-35,161788,1921,1628,336,-48,163348,1874,1737,1438,-15
"RIO BLANCO COUNTY","103",11,6617,25,11,-63,0,6692,106,40,99,-90,6770,73,55,-66,126,6724,81,52,-81,6,6623,70,58,-95,-18,6459,83,53,-114,-80
"RIO GRANDE COUNTY","105",8,12001,42,31,8,0,11911,143,122,-111,0,11877,127,127,-34,0,11721,150,129,-177,0,11580,149,114,-176,0,11475,127,130,-102,0
"ROUTT COUNTY","107",11,23439,62,22,-110,0,23234,228,88,-348,3,23211,216,92,-114,-33,23450,202,101,106,32,23852,208,105,290,9,24103,214,100,150,-13
"SAGUACHE COUNTY","109",8,6144,16,12,17,0,6198,79,37,12,0,6334,79,29,86,0,6243,73,32,-132,0,6194,55,46,-58,0,6258,78,60,46,0
"SAN JUAN COUNTY","111",9,709,1,1,10,0,695,8,8,-14,0,694,3,2,-2,0,702,1,5,12,0,721,7,3,15,0,705,6,6,-16,0
"SAN MIGUEL COUNTY","113",10,7356,16,5,-14,0,7475,76,18,61,0,7578,72,31,62,0,7645,68,25,24,0,7770,69,26,82,0,7859,68,22,43,0
