"LG_ID","DIstrict","totalPopulation_2014","groupQuaterPopulation_2014","householdPopulation_2014","householdSize_2014","totalHousingUnits_2014","households_2014","vacantHousingUnits_2014","vacancyRate_2014","totalPopulation_2015","groupQuaterPopulation_2015","householdPopulation_2015","householdSize_2015","totalHousingUnits_2015","households_2015","vacantHousingUnits_2015","vacancyRate_2015"
"01013","Hyland Hills MPRD",121889,361.00,121528.00,2.83,45333.00,42855.00,2478.00,5.46,124013,361.00,123652.00,2.87,45509.00,43022.00,2487.00,5.46
"01039","Bromley Park MD #2",2567,0.00,2567.00,3.22,840.00,795.00,45.00,5.35,2603,0.00,2603.00,3.27,840.00,795.00,45.00,5.35
"01039","Bromley Park Metro Drist#2",,0.00,,,0.00,,,,,0.00,,,0.00,,,
"01041","BrightonCrossingMD4",1345,0.00,1345.00,3.27,434.00,411.00,23.00,5.29,1364,0.00,1364.00,3.31,434.00,411.00,23.00,5.29
"01049","Wright Farms MD",4186,0.00,4186.00,3.25,1333.00,1285.00,48.00,3.60,4274,0.00,4274.00,3.30,1343.00,1295.00,48.00,3.57
"01064","Buffalo Ridge MD",2437,0.00,2437.00,3.09,860.00,788.00,72.00,8.37,2470,0.00,2470.00,3.13,860.00,788.00,72.00,8.37
"01065","Eagle Creek Metropolitan District",1205,0.00,1205.00,3.58,358.00,336.00,22.00,6.14,1251,0.00,1251.00,3.63,367.00,344.00,23.00,6.26
"01066","RiverdaleDunesMD1",1069,0.00,1069.00,3.45,326.00,309.00,17.00,5.21,1083,0.00,1083.00,3.50,326.00,309.00,17.00,5.21
"01082","BelleCreekMD1",1574,0.00,1574.00,3.00,546.00,523.00,23.00,4.21,1595,0.00,1595.00,3.04,546.00,523.00,23.00,4.21
"01102"," Bennett PRD",3989,0.00,3989.00,2.92,1490.00,1364.00,126.00,8.45,4059,0.00,4059.00,2.96,1496.00,1370.00,126.00,8.42
"03006","Arapahoe Lake PPD",653,0.00,653.00,2.94,223.00,222.00,1.00,0.44,667,0.00,667.00,2.97,225.00,224.00,1.00,0.44
"03012","Chaparral MD",749,0.00,749.00,3.06,251.00,244.00,7.00,2.78,761,0.00,761.00,3.10,252.00,245.00,7.00,2.77
"03015","Cherry Creek Vista PRD",6015,27.00,5988.00,3.16,1943.00,1894.00,49.00,2.52,6167,27.00,6140.00,3.20,1967.00,1918.00,49.00,2.49
"03024","Heather Gardens Metro District",3075,0.00,3075.00,1.45,2327.00,2108.00,219.00,9.41,3132,0.00,3132.00,1.47,2339.00,2119.00,220.00,9.40
"03036","East Arapahoe MD",423,0.00,423.00,2.97,149.00,142.00,7.00,4.69,429,0.00,429.00,3.02,149.00,142.00,7.00,4.69
"03059","Orchard Hills MRPD",456,0.00,456.00,2.88,160.00,158.00,2.00,1.25,476,0.00,476.00,2.92,165.00,163.00,2.00,1.21
"03067","Smoky Hill MD",4367,0.00,4367.00,3.13,1414.00,1391.00,23.00,1.62,4434,0.00,4434.00,3.18,1417.00,1394.00,23.00,1.62
"03076","Sundance Hills Metro District",956,0.00,956.00,3.06,322.00,312.00,10.00,3.10,1002,0.00,1002.00,3.11,333.00,322.00,11.00,3.30
"03087","Arapahoe PRD",55615,72.00,55543.00,3.29,17462.00,16850.00,612.00,3.50,54636,62.00,54574.00,3.34,16920.00,16328.00,592.00,3.49
"03097","Dove Valley MD",3302,1239.00,2063.00,2.23,1000.00,923.00,77.00,7.70,3344,1239.00,2105.00,2.26,1007.00,930.00,77.00,7.64
"03103","Parker Jordan MD",6838,0.00,6838.00,2.52,2848.00,2706.00,142.00,4.98,6980,0.00,6980.00,2.56,2869.00,2726.00,143.00,4.98
"03129","Goodman MD",5865,0.00,5865.00,3.66,1634.00,1601.00,33.00,2.01,5990,0.00,5990.00,3.71,1647.00,1614.00,33.00,2.00
"03130","East Smoky Hill MD #1",1949,0.00,1949.00,3.23,625.00,602.00,23.00,3.68,1986,0.00,1986.00,3.27,629.00,606.00,23.00,3.65
"04014","San Juan River Village Metro District",569,0.00,569.00,9.98,161.00,57.00,104.00,64.59,572,0.00,572.00,10.03,161.00,57.00,104.00,64.59
"04015","Alpha-Rockridge Metro District",137,0.00,137.00,2.40,88.00,57.00,31.00,35.22,138,0.00,138.00,2.42,88.00,57.00,31.00,35.22
"04018","Loma Linda Metro District",235,0.00,235.00,3.09,110.00,76.00,34.00,30.90,236,0.00,236.00,3.10,110.00,76.00,34.00,30.90
"05010","Springfield Metro Rec District",1822,60.00,1762.00,2.04,1081.00,862.00,219.00,20.25,1810,60.00,1750.00,2.03,1081.00,862.00,219.00,20.25
"05014","Two Buttes Metro R/P District",97,0.00,97.00,1.90,79.00,51.00,28.00,35.44,97,0.00,97.00,1.90,79.00,51.00,28.00,35.44
"05018","Vilas Metro Rec District",228,0.00,228.00,2.40,126.00,95.00,31.00,24.60,226,0.00,226.00,2.37,126.00,95.00,31.00,24.60
"05022","Walsh Metro Rec District",938,22.00,916.00,2.12,600.00,431.00,169.00,28.16,933,22.00,911.00,2.11,600.00,431.00,169.00,28.16
"05026","Campo P/R District",243,0.00,243.00,2.07,180.00,117.00,63.00,35.00,241,0.00,241.00,2.05,180.00,117.00,63.00,35.00
"07013","Gunbarrel Estates Metro P/R Dist",867,0.00,867.00,2.62,334.00,330.00,4.00,1.19,874,0.00,874.00,2.64,334.00,330.00,4.00,1.19
"09005","Cheyenne Wells Metro Rec District",851,27.00,824.00,2.15,431.00,383.00,48.00,11.13,845,27.00,818.00,2.13,432.00,384.00,48.00,11.11
"10004","Clear Creek Metro Rec District",7080,69.00,7011.00,2.10,4493.00,3330.00,1163.00,25.88,7218,99.00,7119.00,2.13,4499.00,3333.00,1166.00,25.91
"10010","St. Mary's Glacier Metro District",218,0.00,218.00,2.00,256.00,109.00,147.00,57.42,221,0.00,221.00,2.02,256.00,109.00,147.00,57.42
"12002","Blanca/Fort Garland Metro District",1632,0.00,1632.00,2.27,1245.00,717.00,528.00,42.40,1644,0.00,1644.00,2.26,1260.00,725.00,535.00,42.46
"15029","North Fork Pool, P/R/ District",7810,37.00,7773.00,2.19,4174.00,3547.00,627.00,15.02,7748,37.00,7711.00,2.17,4170.00,3544.00,626.00,15.01
"16010","Ebert Metro District",8609,0.00,8609.00,3.65,2469.00,2357.00,112.00,4.53,8851,0.00,8851.00,3.70,2503.00,2389.00,114.00,4.55
"16011","GVR Metro District",16577,0.00,16577.00,3.40,5106.00,4867.00,239.00,4.68,17041,0.00,17041.00,3.45,5176.00,4934.00,242.00,4.67
"18024","McArthur Ranch Metro Rec District",191,0.00,191.00,2.76,76.00,69.00,7.00,9.21,194,0.00,194.00,2.77,77.00,70.00,7.00,9.09
"18029","Perry Park Metro Dist",1352,0.00,1352.00,2.61,549.00,518.00,31.00,5.64,1379,0.00,1379.00,2.62,557.00,525.00,32.00,5.74
"18036","Cottonwood Metro District",5095,0.00,5095.00,2.61,2039.00,1952.00,87.00,4.26,5196,0.00,5196.00,2.62,2070.00,1982.00,88.00,4.25
"18042","Lincoln Park Metro Dist",3040,0.00,3040.00,2.54,1247.00,1195.00,52.00,4.17,3099,0.00,3099.00,2.55,1265.00,1212.00,53.00,4.18
"18043","Stonegate Village Metro District",7956,0.00,7956.00,3.33,2423.00,2383.00,40.00,1.65,8111,0.00,8111.00,3.35,2458.00,2418.00,40.00,1.62
"18044","Castle Pines Metro District",9385,0.00,9385.00,3.05,3200.00,3071.00,129.00,4.03,9428,0.00,9428.00,3.07,3200.00,3071.00,129.00,4.03
"18045","Founders Village Metro Dist",7199,0.00,7199.00,3.25,2309.00,2214.00,95.00,4.11,7508,0.00,7508.00,3.26,2397.00,2298.00,99.00,4.13
"18053","Cherry Creek South Metro Dist #1",4119,0.00,4119.00,2.69,1616.00,1527.00,89.00,5.50,4199,0.00,4199.00,2.71,1640.00,1549.00,91.00,5.54
"18055","Roxborough Village Metro Dist",6733,0.00,6733.00,3.20,2181.00,2104.00,77.00,3.53,6862,0.00,6862.00,3.21,2212.00,2134.00,78.00,3.52
"18056","Meadows Metro Dist #1",6714,0.00,6714.00,3.40,2030.00,1969.00,61.00,3.00,7004,0.00,7004.00,3.42,2108.00,2045.00,63.00,2.98
"18057","Meadows Metro Dist #2",2835,0.00,2835.00,3.28,898.00,862.00,36.00,4.00,2956,0.00,2956.00,3.30,932.00,895.00,37.00,3.96
"18058","Meadows Metro Dist #3",498,0.00,498.00,3.32,159.00,150.00,9.00,5.66,519,0.00,519.00,3.32,165.00,156.00,9.00,5.45
"18059","Meadows Metro Dist #4",6,0.00,6.00,3.00,2.00,2.00,0.00,0.00,6,0.00,6.00,3.00,2.00,2.00,0.00,0.00
"18061","Meadows Metro Dist#6",1030,0.00,1030.00,2.94,378.00,350.00,28.00,7.40,1073,0.00,1073.00,2.95,392.00,363.00,29.00,7.39
"18062","Meadows Metro Dist#7",2595,0.00,2595.00,3.19,870.00,812.00,58.00,6.66,2707,0.00,2707.00,3.21,903.00,842.00,61.00,6.75
"18083","High Prairie Farms Metro Dist",2238,0.00,2238.00,3.32,712.00,673.00,39.00,5.47,2281,0.00,2281.00,3.33,722.00,683.00,39.00,5.40
"18102","Hidden Pointe Metro Dist",847,0.00,847.00,3.99,217.00,212.00,5.00,2.30,851,0.00,851.00,4.01,217.00,212.00,5.00,2.30
"18103","Canterberry Crossing Metro Dist #1",3948,0.00,3948.00,3.33,1228.00,1185.00,43.00,3.50,4027,0.00,4027.00,3.34,1247.00,1203.00,44.00,3.52
"18110","Consolidated Bell Mountain Ranch Metropolitan Dist",586,0.00,586.00,2.79,220.00,210.00,10.00,4.54,597,0.00,597.00,2.81,223.00,212.00,11.00,4.93
"18112","Pinery West Metro Dist#2",1528,6.00,1522.00,3.67,443.00,414.00,29.00,6.54,1555,6.00,1549.00,3.69,449.00,419.00,30.00,6.68
"18114","E-470 Potomac Metro Dist",696,0.00,696.00,3.25,220.00,214.00,6.00,2.72,709,0.00,709.00,3.26,223.00,217.00,6.00,2.69
"18122","Canterberry Crossing MD#2",2652,0.00,2652.00,3.50,778.00,757.00,21.00,2.69,2706,0.00,2706.00,3.52,790.00,768.00,22.00,2.78
"19001","Arrowhead Metro District",315,0.00,315.00,2.14,748.00,147.00,601.00,80.34,318,0.00,318.00,2.16,748.00,147.00,601.00,80.34
"19004","Beaver Creek Metro District",251,0.00,251.00,1.96,1891.00,128.00,1763.00,93.23,253,0.00,253.00,1.97,1891.00,128.00,1763.00,93.23
"19006","Berry Creek Metro District",1756,0.00,1756.00,2.41,994.00,727.00,267.00,26.86,1722,0.00,1722.00,2.43,968.00,708.00,260.00,26.85
"19015","Eagle-Vail Metro Dist",3141,0.00,3141.00,2.53,1777.00,1240.00,537.00,30.21,3162,0.00,3162.00,2.55,1777.00,1240.00,537.00,30.21
"19032","Vail P/R District",5552,1.00,5551.00,2.05,7592.00,2703.00,4889.00,64.39,5675,1.00,5674.00,2.06,7722.00,2750.00,4972.00,64.38
"19039","Western Eagle County Metro Rec Dist",24425,69.00,24356.00,2.99,9764.00,8127.00,1637.00,16.76,24099,69.00,24030.00,3.03,9091.00,7913.00,1178.00,12.95
"19051","Cotton Ranch Metro Dist",604,0.00,604.00,3.12,223.00,193.00,30.00,13.45,606,0.00,606.00,3.13,223.00,193.00,30.00,13.45
"20010","Elizabeth P/R District",14559,8.00,14551.00,2.87,5274.00,5066.00,208.00,3.94,14731,8.00,14723.00,2.90,5275.00,5067.00,208.00,3.94
"21010","Cherokee Metro District",22767,11.00,22756.00,2.86,8394.00,7932.00,462.00,5.50,23237,11.00,23226.00,2.87,8537.00,8067.00,470.00,5.50
"21012","Cheyenne Creek Metro Dist",808,1.00,807.00,1.86,482.00,432.00,50.00,10.37,820,1.00,819.00,1.87,487.00,436.00,51.00,10.47
"21057","Colorado Centre Metro District",2858,0.00,2858.00,3.06,982.00,931.00,51.00,5.19,3061,0.00,3061.00,3.22,999.00,948.00,51.00,5.10
"21061","Triview Metro District",3351,0.00,3351.00,3.38,1020.00,990.00,30.00,2.94,3414,0.00,3414.00,3.39,1035.00,1005.00,30.00,2.89
"21074","Paint Brush Hills Metro Dist",2178,0.00,2178.00,3.21,695.00,678.00,17.00,2.44,2223,0.00,2223.00,3.22,707.00,690.00,17.00,2.40
"21081","Manitou Springs Metro District",207,0.00,207.00,1.86,123.00,111.00,12.00,9.75,211,0.00,211.00,1.88,125.00,112.00,13.00,10.40
"21089","Woodmen Hills Metro Dist",6770,0.00,6770.00,3.41,2066.00,1981.00,85.00,4.11,6912,0.00,6912.00,3.42,2102.00,2016.00,86.00,4.09
"21094","Ellicott Metro District",4348,0.00,4348.00,2.87,1684.00,1513.00,171.00,10.15,4431,0.00,4431.00,2.88,1710.00,1536.00,174.00,10.17
"21106","Meridian Ranch Metro Dist",4112,0.00,4112.00,3.47,1259.00,1182.00,77.00,6.11,4197,0.00,4197.00,3.48,1281.00,1203.00,78.00,6.08
"21902","Widefield 3 School District",49800,2149.00,47651.00,2.99,16759.00,15927.00,832.00,4.96,44885,2149.00,42736.00,2.98,15022.00,14310.00,712.00,4.73
"22004","Canon City Area Metro R/P Dist",26242,3027.00,23215.00,2.23,11321.00,10373.00,948.00,8.37,26360,3015.00,23345.00,2.24,11333.00,10384.00,949.00,8.37
"22022","Penrose P/R District",4012,6.00,4006.00,2.44,1787.00,1637.00,150.00,8.39,4033,6.00,4027.00,2.45,1787.00,1637.00,150.00,8.39
