LG_ID,District,totalPopulation_2014,groupQuaterPopulation_2014,householdPopulation_2014,householdSize_2014,totalHousingUnits_2014,households_2014,vacantHousingUnits_2014,vacancyRate_2014,totalPopulation_2013,groupQuaterPopulation_2013,householdPopulation_2013,householdSize_2013,totalHousingUnits_2013,households_2013,vacantHousingUnits_2013,vacancyRate_2013
1013,Hyland Hills MPRD,121909,361,121548,2.841034991,45257,42783,2474,5.46655766,119742,361,119381,2.797511365,45142,42674,2468,5.467192415
1039,Bromley Park MD #2,2571,0,2571,3.233962264,840,795,45,5.357142857,2535,0,2535,3.188679245,840,795,45,5.357142857
1039,Bromley Park Metro Drist#2,,0,,,0,,,,,0,,,0,,,
1041,BrightonCrossingMD4,1348,0,1348,3.279805353,434,411,23,5.299539171,1335,0,1335,3.248175182,434,411,23,5.299539171
1049,Wright Farms MD,4194,0,4194,3.26381323,1333,1285,48,3.600900225,4100,0,4100,3.213166144,1323,1276,47,3.552532124
1064,Buffalo Ridge MD,2442,0,2442,3.098984772,860,788,72,8.372093023,2403,0,2403,3.049492386,860,788,72,8.372093023
1065,Eagle Creek Metropolitan District,1207,0,1207,3.592261905,358,336,22,6.145251397,1159,0,1159,3.544342508,349,327,22,6.303724928
1066,RiverdaleDunesMD1,1071,0,1071,3.466019417,326,309,17,5.214723926,1054,0,1054,3.411003236,326,309,17,5.214723926
1082,BelleCreekMD1,1577,0,1577,3.015296367,546,523,23,4.212454212,1553,0,1553,2.969407266,546,523,23,4.212454212
1102, Bennett PRD,3996,0,3996,2.929618768,1490,1364,126,8.456375839,3921,0,3921,2.883088235,1485,1360,125,8.417508418
3006,Arapahoe Lake PPD,640,0,640,2.962962963,217,216,1,0.460829493,629,0,629,2.925581395,216,215,1,0.462962963
3012,Chaparral MD,756,0,756,3.098360656,251,244,7,2.788844622,747,0,747,3.06147541,251,244,7,2.788844622
3015,Cherry Creek Vista MRPD,5911,27,5884,3.187432286,1894,1846,48,2.534318902,5786,27,5759,3.148715145,1876,1829,47,2.50533049
3024,Heather Gardens Metro District,3075,0,3075,1.471291866,2307,2090,217,9.40615518,3028,0,3028,1.453672588,2299,2083,216,9.3953893
3036,East Arapahoe MD,422,0,422,3.014285714,147,140,7,4.761904762,417,0,417,2.978571429,147,140,7,4.761904762
3059,Orchard Hills MRPD,459,0,459,2.905063291,160,158,2,1.25,437,0,437,2.875,154,152,2,1.298701299
3067,Smoky Hill MD,4404,0,4404,3.166067577,1414,1391,23,1.626591231,4349,0,4349,3.128776978,1413,1390,23,1.627742392
3076,Sundance Hills Metro District,964,0,964,3.08974359,322,312,10,3.105590062,914,0,914,3.056856187,309,299,10,3.236245955
3087,Arapahoe PRD,55097,73,55024,3.322705314,17162,16560,602,3.50774968,54310,75,54235,3.282990315,17120,16520,600,3.504672897
3097,Dove Valley MD,3261,1239,2022,2.251670379,973,898,75,7.708119219,3230,1239,1991,2.224581006,970,895,75,7.731958763
3103,Parker Jordan MD,6697,0,6697,2.547356409,2767,2629,138,4.987350922,6591,0,6591,2.516609393,2756,2619,137,4.970972424
3129,Goodman MD,5827,0,5827,3.694990488,1610,1577,33,2.049689441,5737,0,5737,3.651814131,1604,1571,33,2.057356608
3130,East Smoky Hill MD #1,1923,0,1923,3.259322034,612,590,22,3.594771242,1895,0,1895,3.222789116,610,588,22,3.606557377
4014,San Juan River Village Metro District,571,0,571,10.01754386,161,57,104,64.59627329,593,0,593,10.40350877,161,57,104,64.59627329
4015,Alpha-Rockridge Metro District,138,0,138,2.421052632,88,57,31,35.22727273,138,0,138,2.421052632,88,57,31,35.22727273
4018,Loma Linda Metro District,236,0,236,3.105263158,110,76,34,30.90909091,237,0,237,3.118421053,110,76,34,30.90909091
5010,Springfield Metro Rec District,1824,60,1764,2.046403712,1081,862,219,20.25901943,1850,60,1790,2.076566125,1081,862,219,20.25901943
5014,Two Buttes Metro R/P District,97,0,97,1.901960784,79,51,28,35.44303797,99,0,99,1.941176471,79,51,28,35.44303797
5018,Vilas Metro Rec District,228,0,228,2.4,126,95,31,24.6031746,231,0,231,2.431578947,126,95,31,24.6031746
5022,Walsh Metro Rec District,939,22,917,2.127610209,600,431,169,28.16666667,953,22,931,2.160092807,600,431,169,28.16666667
5026,Campo P/R District,243,0,243,2.076923077,180,117,63,35,246,0,246,2.102564103,180,117,63,35
7013,Gunbarrel Estates Metro P/R Dist,867,0,867,2.627272727,334,330,4,1.19760479,868,0,868,2.63030303,334,330,4,1.19760479
9005,Cheyenne Wells Metro Rec District,856,27,829,2.164490862,431,383,48,11.13689095,871,27,844,2.203655352,431,383,48,11.13689095
10004,Clear Creek Metro Rec District,7077,68,7009,2.104804805,4493,3330,1163,25.88470955,7014,74,6940,2.086590499,4488,3326,1162,25.8912656
10010,St. Mary's Glacier Metro District,218,0,218,2,256,109,147,57.421875,216,0,216,1.981651376,256,109,147,57.421875
12002,Blanca/Fort Garland Metro District,1632,0,1632,2.276150628,1245,717,528,42.40963855,1625,0,1625,2.288732394,1232,710,522,42.37012987
15029,"North Fork Pool, P/R/ District",7827,37,7790,2.186359809,4193,3563,630,15.02504174,7866,37,7829,2.233029093,4128,3506,622,15.06782946
16010,Ebert Metro District,8603,0,8603,3.671788306,2455,2343,112,4.562118126,8401,0,8401,3.59017094,2452,2340,112,4.567699837
16011,GVR Metro District,16568,0,16568,3.423140496,5078,4840,238,4.6868846,16180,0,16180,3.347124535,5071,4834,237,4.673634392
18024,McArthur Ranch Metro Rec District,192,0,192,2.782608696,76,69,7,9.210526316,185,0,185,2.76119403,74,67,7,9.459459459
18029,Perry Park Metro Dist,1355,0,1355,2.610789981,550,519,31,5.636363636,1314,0,1314,2.586614173,539,508,31,5.751391466
18036,Cottonwood Metro District,5071,0,5071,2.61257084,2027,1941,86,4.242723236,4954,0,4954,2.58559499,2002,1916,86,4.295704296
18042,Lincoln Park Metro Dist,3040,0,3040,2.546063652,1246,1194,52,4.173354735,2952,0,2952,2.518771331,1223,1172,51,4.17007359
18043,Stonegate Village Metro District,7965,0,7965,3.342425514,2423,2383,40,1.650846059,7734,0,7734,3.306541257,2378,2339,39,1.640033642
18044,Castle Pines Metro District,9406,8,9398,3.059244792,3201,3072,129,4.029990628,9303,8,9295,3.0267014,3200,3071,129,4.03125
18045,Founders Village Metro Dist,7207,0,7207,3.255194219,2309,2214,95,4.11433521,6997,0,6997,3.219972388,2266,2173,93,4.104148279
18053,Cherry Creek South Metro Dist #1,4087,0,4087,2.699471598,1602,1514,88,5.493133583,4006,0,4006,2.672448299,1587,1499,88,5.54505356
18055,Roxborough Village Metro Dist,6740,0,6740,3.203422053,2181,2104,77,3.530490601,6540,0,6540,3.170140572,2139,2063,76,3.553062179
18056,Meadows Metro Dist #1,6722,0,6722,3.413915693,2030,1969,61,3.004926108,6526,0,6526,3.376099327,1992,1933,59,2.96184739
18057,Meadows Metro Dist #2,2838,0,2838,3.292343387,898,862,36,4.008908686,2754,0,2754,3.255319149,881,846,35,3.972758229
18058,Meadows Metro Dist #3,499,0,499,3.326666667,159,150,9,5.660377358,484,0,484,3.27027027,156,148,8,5.128205128
18059,Meadows Metro Dist #4,6,0,6,3,2,2,0,0,6,0,6,3,2,2,0,0
18061,Meadows Metro Dist#6,1031,0,1031,2.945714286,378,350,28,7.407407407,1001,0,1001,2.909883721,371,344,27,7.277628032
18062,Meadows Metro Dist#7,2598,0,2598,3.199507389,870,812,58,6.666666667,2523,0,2523,3.165621079,854,797,57,6.674473068
18083,High Prairie Farms Metro Dist,2241,0,2241,3.32986627,712,673,39,5.47752809,2173,0,2173,3.292424242,698,660,38,5.444126074
18102,Hidden Pointe Metro Dist,845,0,845,4.004739336,216,211,5,2.314814815,836,0,836,3.962085308,216,211,5,2.314814815
