"countyfips","MultiCountyPlaceFlag","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013","totalpopulation_2014","groupquartersPopulation_2014","householdPopulation_2014","householdSize_2014","totalHousingUnits_2014","occupiedHousingUnits_2014","vacantHousingUnits_2014","vacancyRate_2014","totalpopulation_2015","groupquartersPopulation_2015","householdPopulation_2015","householdSize_2015","totalHousingUnits_2015","occupiedHousingUnits_2015","vacantHousingUnits_2015","vacancyRate_2015","totalpopulation_2016","groupquartersPopulation_2016","householdPopulation_2016","householdSize_2016","totalHousingUnits_2016","occupiedHousingUnits_2016","vacantHousingUnits_2016","vacancyRate_2016"
"011",,1,"43660","Las Animas",2410,78,2332,2.32,1214,1004,210,17.29,2413,78,2335,2.32,1214,1005,209,17.21,2354,78,2276,2.32,1214,980,234,19.27,2299,78,2221,2.32,1214,956,258,21.25,2241,78,2163,2.32,1214,931,283,23.31,2179,78,2101,2.32,1214,905,309,25.45,2213,78,2135,2.32,1214,919,295,24.29,2181,78,2103,2.32,1214,905,309,25.45
"011",,1,"99990","Unincorp. Area",4089,2130,1959,2.36,1028,828,200,19.45,4093,2130,1963,2.36,1029,830,199,19.33,3950,2036,1914,2.36,1029,809,220,21.37,3479,1608,1871,2.36,1031,791,240,23.27,3467,1637,1830,2.36,1035,773,262,25.31,3568,1791,1777,2.36,1035,751,284,27.43,3634,1829,1805,2.36,1035,763,272,26.28,3445,1657,1788,2.36,1040,756,284,27.30
"111",,1,"70580","Silverton",637,0,637,1.99,501,319,182,36.32,646,0,646,1.99,501,324,177,35.32,632,0,632,2.00,502,316,186,37.05,631,0,631,1.99,502,316,186,37.05,637,0,637,1.99,505,319,186,36.83,655,0,655,1.99,505,328,177,35.04,634,0,634,2.00,505,317,188,37.22,635,0,635,1.99,507,318,189,37.27
"111",,1,"99990","Unincorp. Area",62,0,62,2.48,255,25,230,90.19,63,0,63,2.52,256,25,231,90.23,61,0,61,2.44,256,25,231,90.23,61,0,61,2.44,257,25,232,90.27,63,0,63,2.52,260,25,235,90.38,64,0,64,2.46,260,26,234,90.00,62,0,62,2.48,260,25,235,90.38,63,0,63,2.52,264,25,239,90.53
"113",,1,"68655","Sawpit",40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,42,0,42,2.21,23,19,4,17.39,42,0,42,2.21,23,19,4,17.39,44,0,44,2.20,24,20,4,16.66
"113",,1,"76795","Telluride",2325,0,2325,2.14,2070,1086,984,47.53,2319,0,2319,2.14,2076,1083,993,47.83,2370,0,2370,2.14,2094,1107,987,47.13,2401,0,2401,2.14,2098,1121,977,46.56,2426,0,2426,2.14,2106,1133,973,46.20,2465,0,2465,2.14,2111,1151,960,45.47,2485,0,2485,2.14,2132,1161,971,45.54,2537,0,2537,2.14,2146,1185,961,44.78
"113",,1,"52550","Mountain Village",1320,0,1320,1.75,2066,751,1315,63.64,1313,0,1313,1.75,2066,747,1319,63.84,1334,0,1334,1.75,2072,759,1313,63.36,1352,0,1352,1.75,2075,769,1306,62.93,1362,0,1362,1.75,2079,775,1304,62.72,1383,0,1383,1.75,2082,787,1295,62.19,1382,0,1382,1.75,2085,786,1299,62.30,1404,0,1404,1.75,2088,799,1289,61.73
"113",,1,"54880","Norwood",518,0,518,2.40,249,215,34,13.65,517,0,517,2.40,250,215,35,14.00,524,0,524,2.41,250,217,33,13.20,530,0,530,2.40,250,220,30,12.00,533,0,533,2.41,250,221,29,11.60,547,0,547,2.40,253,227,26,10.27,550,0,550,2.41,255,228,27,10.58,561,0,561,2.40,256,233,23,8.98
"113",,1,"55870","Ophir",159,0,159,2.69,64,59,5,7.81,180,0,180,2.68,73,67,6,8.21,182,0,182,2.67,73,68,5,6.84,184,0,184,2.70,73,68,5,6.84,186,0,186,2.69,73,69,4,5.47,191,0,191,2.69,74,71,3,4.05,191,0,191,2.69,74,71,3,4.05,194,0,194,2.69,74,72,2,2.70
"113",,1,"99990","Unincorp. Area",2997,9,2988,2.25,2166,1325,841,38.82,2987,9,2978,2.25,2171,1321,850,39.15,3027,9,3018,2.25,2171,1338,833,38.36,3062,9,3053,2.25,2171,1354,817,37.63,3081,9,3072,2.25,2171,1362,809,37.26,3123,9,3114,2.25,2171,1381,790,36.38,3193,9,3184,2.25,2225,1412,813,36.53,3260,9,3251,2.25,2238,1442,796,35.56
"115",,1,"56475","Ovid",318,0,318,2.27,176,140,36,20.45,318,0,318,2.27,176,140,36,20.45,318,0,318,2.27,176,140,36,20.45,318,0,318,2.25,176,141,35,19.88,318,0,318,2.28,176,139,37,21.02,316,0,316,2.30,176,137,39,22.15,320,0,320,2.30,176,139,37,21.02,320,0,320,2.26,176,141,35,19.88
"115",,1,"68930","Sedgwick",146,0,146,1.92,110,76,34,30.90,145,0,145,1.93,110,75,35,31.81,145,0,145,1.93,110,75,35,31.81,145,0,145,1.93,110,75,35,31.81,143,0,143,1.93,110,74,36,32.72,142,0,142,1.91,110,74,36,32.72,146,0,146,1.92,110,76,34,30.90,148,0,148,1.92,110,77,33,30.00
"115",,1,"39965","Julesburg",1225,35,1190,2.08,730,570,160,21.91,1218,35,1183,2.08,730,567,163,22.32,1218,35,1183,2.08,730,567,163,22.32,1220,35,1185,2.08,730,568,162,22.19,1203,35,1168,2.08,730,559,171,23.42,1196,35,1161,2.08,731,556,175,23.93,1226,35,1191,2.08,731,570,161,22.02,1244,35,1209,2.08,731,579,152,20.79
"115",,1,"99990","Unincorp. Area",690,0,690,2.24,399,307,92,23.05,686,0,686,2.24,399,305,94,23.55,686,0,686,2.24,399,305,94,23.55,687,0,687,2.24,399,306,93,23.30,679,0,679,2.24,400,302,98,24.50,677,0,677,2.24,402,301,101,25.12,697,0,697,2.24,403,310,93,23.07,709,0,709,2.25,404,315,89,22.02
"117",,1,"70525","Silverthorne",3887,2,3885,2.67,2061,1451,610,29.59,3904,2,3902,2.67,2066,1457,609,29.47,3893,2,3891,2.67,2079,1453,626,30.11,3948,2,3946,2.67,2097,1474,623,29.70,4013,2,4011,2.67,2105,1498,607,28.83,4206,2,4204,2.67,2180,1570,610,27.98,4340,2,4338,2.67,2208,1620,588,26.63,4404,2,4402,2.67,2208,1644,564,25.54
"117",,1,"08400","Breckenridge",4540,103,4437,2.28,6911,1946,4965,71.84,4552,103,4449,2.28,6915,1951,4964,71.78,4575,103,4472,2.28,7015,1961,5054,72.04,4632,103,4529,2.28,7067,1986,5081,71.89,4767,103,4664,2.27,7187,2046,5141,71.53,4835,103,4732,2.28,7204,2075,5129,71.19,4966,103,4863,2.27,7267,2133,5134,70.64,5038,103,4935,2.28,7267,2164,5103,70.22
"117",,1,"20440","Dillon",904,0,904,1.98,1290,455,835,64.72,906,0,906,1.98,1290,456,834,64.65,899,0,899,1.98,1291,452,839,64.98,903,0,903,1.98,1291,454,837,64.83,915,0,915,1.98,1291,461,830,64.29,926,0,926,1.98,1291,466,825,63.90,943,0,943,1.98,1292,475,817,63.23,957,0,957,1.98,1292,482,810,62.69
"117",,1,"28690","Frisco",2683,0,2683,2.06,3117,1298,1819,58.35,2694,0,2694,2.06,3123,1303,1820,58.27,2680,0,2680,2.06,3136,1297,1839,58.64,2718,0,2718,2.06,3163,1315,1848,58.42,2756,0,2756,2.06,3167,1333,1834,57.90,2806,0,2806,2.06,3185,1358,1827,57.36,2890,0,2890,2.06,3222,1398,1824,56.61,2933,0,2933,2.06,3222,1419,1803,55.95
"117",,1,"51690","Montezuma",65,0,65,2.60,55,25,30,54.54,65,0,65,2.60,55,25,30,54.54,65,0,65,2.60,55,25,30,54.54,66,0,66,2.64,56,25,31,55.35,67,0,67,2.57,56,26,30,53.57,68,0,68,2.61,56,26,30,53.57,70,0,70,2.59,57,27,30,52.63,71,0,71,2.62,57,27,30,52.63
"117",,1,"07410","Blue River",849,0,849,2.52,726,336,390,53.71,853,0,853,2.52,728,338,390,53.57,845,0,845,2.52,728,334,394,54.12,850,0,850,2.52,728,336,392,53.84,860,0,860,2.52,728,340,388,53.29,878,0,878,2.53,734,347,387,52.72,900,0,900,2.52,738,356,382,51.76,914,0,914,2.52,739,362,377,51.01
"117",,1,"99990","Unincorp. Area",15066,168,14898,2.38,15682,6243,9439,60.19,15099,168,14931,2.38,15684,6257,9427,60.10,14997,168,14829,2.38,15720,6214,9506,60.47,15096,168,14928,2.38,15740,6256,9484,60.25,15282,168,15114,2.38,15740,6334,9406,59.75,15494,168,15326,2.38,15767,6422,9345,59.26,15819,168,15651,2.38,15805,6559,9246,58.50,16050,168,15882,2.38,15805,6655,9150,57.89
"119",,1,"80865","Victor",397,0,397,1.87,337,212,125,37.09,398,0,398,1.86,337,213,124,36.79,395,0,395,1.87,337,211,126,37.38,395,0,395,1.87,337,211,126,37.38,391,0,391,1.87,337,209,128,37.98,370,0,370,1.87,337,197,140,41.54,360,0,360,1.88,337,191,146,43.32,382,0,382,1.87,337,204,133,39.46
"119",,1,"86090","Woodland Park",7200,0,7200,2.46,3194,2919,275,8.60,7229,0,7229,2.46,3196,2931,265,8.29,7174,0,7174,2.46,3196,2908,288,9.01,7177,0,7177,2.46,3203,2910,293,9.14,7140,0,7140,2.46,3213,2895,318,9.89,7452,0,7452,2.47,3320,3017,303,9.12,8027,0,8027,2.73,3320,2930,390,11.74,7672,0,7672,2.46,3314,3110,204,6.15
"119",,1,"18530","Cripple Creek",1189,0,1189,2.15,727,552,175,24.07,1193,0,1193,2.15,727,554,173,23.79,1186,0,1186,2.15,728,551,177,24.31,1185,0,1185,2.15,729,550,179,24.55,1175,0,1175,2.15,729,546,183,25.10,1022,0,1022,2.15,729,474,255,34.97,992,0,992,2.15,729,461,268,36.76,1060,0,1060,2.15,732,492,240,32.78
"119","999",,"32650","Green Mtn. Falls (Part)",28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,24,0,24,1.84,33,13,20,60.60,23,0,23,1.91,33,12,21,63.63,25,0,25,1.92,33,13,20,60.60
"119",,1,"99990","Unincorp. Area",14536,132,14404,2.35,8352,6107,2245,26.87,14593,132,14461,2.35,8358,6131,2227,26.64,14511,132,14379,2.35,8374,6096,2278,27.20,14564,132,14432,2.35,8419,6119,2300,27.31,14537,132,14405,2.35,8473,6107,2366,27.92,14534,132,14402,2.35,8523,6103,2420,28.39,14029,132,13897,2.35,8585,5889,2696,31.40,15015,132,14883,2.35,8650,6310,2340,27.05
"121",,1,"00925","Akron",1702,184,1518,2.14,842,707,135,16.03,1703,184,1519,2.14,843,707,136,16.13,1693,184,1509,2.14,844,703,141,16.70,1670,184,1486,2.14,845,692,153,18.10,1685,184,1501,2.14,845,699,146,17.27,1686,184,1502,2.14,845,700,145,17.15,1707,184,1523,2.14,847,709,138,16.29,1720,184,1536,2.14,848,715,133,15.68
"121",,1,"56365","Otis",475,0,475,2.35,248,202,46,18.54,475,0,475,2.35,248,202,46,18.54,473,0,473,2.35,249,201,48,19.27,465,0,465,2.34,249,198,51,20.48,470,0,470,2.35,249,200,49,19.67,471,0,471,2.35,249,200,49,19.67,476,0,476,2.35,249,202,47,18.87,481,0,481,2.34,250,205,45,18.00
"121",,1,"99990","Unincorp. Area",2637,0,2637,2.46,1344,1071,273,20.31,2637,0,2637,2.46,1345,1071,274,20.37,2623,0,2623,2.46,1348,1065,283,20.99,2581,0,2581,2.46,1348,1048,300,22.25,2610,0,2610,2.46,1349,1060,289,21.42,2615,0,2615,2.46,1351,1062,289,21.39,2651,0,2651,2.46,1354,1077,277,20.45,2674,0,2674,2.46,1357,1086,271,19.97
"123",,1,"59005","Pierce",834,0,834,2.67,337,312,25,7.41,837,0,837,2.67,337,313,24,7.12,845,0,845,2.67,337,316,21,6.23,854,0,854,2.67,337,319,18,5.34,863,0,863,2.67,337,323,14,4.15,872,0,872,2.67,337,326,11,3.26,877,0,877,2.67,337,328,9,2.67,1070,0,1070,2.67,408,400,8,1.96
"123",,1,"60160","Platteville",2485,0,2485,2.87,937,863,74,7.89,2499,0,2499,2.87,939,868,71,7.56,2522,0,2522,2.87,939,876,63,6.70,2557,0,2557,2.87,941,888,53,5.63,2582,0,2582,2.87,941,897,44,4.67,2613,0,2613,2.88,942,907,35,3.71,2652,0,2652,2.87,951,921,30,3.15,2768,0,2768,2.88,985,961,24,2.43
"123",,1,"63045","Raymer",96,0,96,2.59,55,37,18,32.72,96,0,96,2.59,55,37,18,32.72,97,0,97,2.62,55,37,18,32.72,98,0,98,2.57,55,38,17,30.90,99,0,99,2.60,55,38,17,30.90,100,0,100,2.56,55,39,16,29.09,103,0,103,2.57,56,40,16,28.57,105,0,105,2.62,57,40,17,29.82
"123",,1,"69150","Severance",3165,0,3165,2.86,1161,1105,56,4.82,3204,0,3204,2.86,1171,1119,52,4.44,3278,0,3278,2.86,1187,1144,43,3.62,3346,0,3346,2.86,1198,1168,30,2.50,3413,0,3413,2.86,1210,1192,18,1.48,3545,0,3545,2.86,1243,1238,5,0.40,3738,0,3738,2.86,1304,1304,0,0.00,4050,0,4050,2.88,1402,1402,0,0.00
"123","999",,"77290","Thornton (Part)",0,0,0,0.00,0,0,0,0.00,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,
"123","999",,"08675","Brighton (Part)",343,0,343,3.09,117,111,6,5.12,347,0,347,3.09,118,112,6,5.08,354,0,354,3.07,119,115,4,3.36,361,0,361,3.08,120,117,3,2.50,367,0,367,3.08,121,119,2,1.65,378,0,378,3.09,123,122,1,0.81,383,0,383,3.08,124,124,0,0.00,397,0,397,3.10,128,128,0,0.00
"123","999",,"85485","Windsor (Part)",14070,103,13967,2.70,5537,5166,371,6.70,14171,103,14068,2.70,5556,5203,353,6.35,14499,103,14396,2.70,5634,5325,309,5.48,15090,103,14987,2.70,5800,5543,257,4.43,15901,103,15798,2.70,6054,5843,211,3.48,16508,103,16405,2.70,6218,6068,150,2.41,16931,103,16828,2.70,6344,6224,120,1.89,17702,103,17599,2.70,6584,6509,75,1.13
"123",,1,"19080","Dacono",4152,0,4152,2.84,1555,1459,96,6.17,4181,0,4181,2.84,1560,1469,91,5.83,4274,0,4274,2.84,1580,1502,78,4.93,4346,0,4346,2.84,1589,1527,62,3.90,4406,0,4406,2.84,1595,1548,47,2.94,4454,0,4454,2.84,1595,1565,30,1.88,4479,0,4479,2.84,1595,1574,21,1.31,4867,0,4867,2.84,1720,1710,10,0.58
"123",,1,"22860","Eaton",4365,0,4365,2.69,1698,1621,77,4.53,4384,0,4384,2.69,1699,1628,71,4.17,4445,0,4445,2.69,1707,1651,56,3.28,4524,0,4524,2.69,1718,1680,38,2.21,4622,0,4622,2.69,1738,1716,22,1.26,4794,0,4794,2.69,1783,1780,3,0.16,4917,0,4917,2.70,1819,1819,0,0.00,5083,0,5083,2.72,1866,1866,0,0.00
"123","999",,"24950","Erie (Part)",9787,0,9787,2.80,3710,3491,219,5.90,9882,0,9882,2.80,3732,3525,207,5.54,10242,0,10242,2.80,3833,3653,180,4.69,10623,0,10623,2.80,3931,3789,142,3.61,11080,0,11080,2.80,4060,3952,108,2.66,11567,0,11567,2.80,4192,4126,66,1.57,12073,0,12073,2.80,4352,4306,46,1.05,12830,0,12830,2.80,4590,4576,14,0.30
"123",,1,"25280","Evans",18537,4,18533,2.94,6761,6294,467,6.90,18651,4,18647,2.94,6777,6333,444,6.55,18950,4,18946,2.94,6823,6434,389,5.70,19418,4,19414,2.94,6914,6593,321,4.64,19685,4,19681,2.94,6940,6684,256,3.68,19454,4,19450,2.94,6784,6605,179,2.63,19901,4,19897,2.94,6903,6757,146,2.11,20270,4,20266,2.94,6977,6883,94,1.34
"123",,1,"26600","Firestone",10147,0,10147,3.08,3499,3294,205,5.85,10249,0,10249,3.08,3521,3327,194,5.50,10590,0,10590,3.08,3605,3438,167,4.63,10873,0,10873,3.08,3660,3530,130,3.55,11140,0,11140,3.08,3713,3616,97,2.61,11489,0,11489,3.08,3788,3730,58,1.53,11941,0,11941,3.08,3916,3876,40,1.02,12891,0,12891,3.08,4195,4185,10,0.23
"123",,1,"27700","Fort Lupton",7377,0,7377,3.08,2534,2391,143,5.64,7454,0,7454,3.08,2551,2416,135,5.29,7520,0,7520,3.08,2550,2437,113,4.43,7610,0,7610,3.08,2552,2467,85,3.33,7685,0,7685,3.08,2552,2491,61,2.39,7789,0,7789,3.08,2558,2525,33,1.29,7834,0,7834,3.08,2559,2539,20,0.78,7953,0,7953,3.08,2578,2578,0,0.00
