"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013","totalpopulation_2014","groupquartersPopulation_2014","householdPopulation_2014","householdSize_2014","totalHousingUnits_2014","occupiedHousingUnits_2014","vacantHousingUnits_2014","vacancyRate_2014"
"011",1,"43660","Las Animas",2410,78,2332,2.32,1214,1004,210,17.29,2413,78,2335,2.32,1214,1005,209,17.21,2355,78,2277,2.32,1214,980,234,19.27,2297,78,2219,2.32,1214,955,259,21.33,2236,78,2158,2.32,1214,929,285,23.47,2166,78,2088,2.32,1214,899,315,25.94
"011",1,"99990","Unincorp. Area",4089,2130,1959,2.36,1028,828,200,19.45,4093,2130,1963,2.36,1029,830,199,19.33,3951,2036,1915,2.36,1029,809,220,21.37,3478,1608,1870,2.36,1031,790,241,23.37,3461,1637,1824,2.36,1035,771,264,25.50,3373,1608,1765,2.36,1035,746,289,27.92
"111",1,"70580","Silverton",637,0,637,1.99,501,319,182,36.32,646,0,646,1.99,501,324,177,35.32,633,0,633,1.99,502,317,185,36.85,633,0,633,1.99,502,317,185,36.85,637,0,637,1.99,505,319,186,36.83,654,0,654,1.99,505,328,177,35.04
"111",1,"99990","Unincorp. Area",62,0,62,2.48,255,25,230,90.19,63,0,63,2.52,256,25,231,90.23,62,0,62,2.48,256,25,231,90.23,61,0,61,2.44,257,25,232,90.27,63,0,63,2.52,260,25,235,90.38,64,0,64,2.46,260,26,234,90.00
"113",1,"68655","Sawpit",40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,40,0,40,2.22,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73,41,0,41,2.27,23,18,5,21.73
"113",1,"76795","Telluride",2325,0,2325,2.14,2070,1086,984,47.53,2319,0,2319,2.14,2076,1083,993,47.83,2363,0,2363,2.14,2094,1104,990,47.27,2392,0,2392,2.14,2098,1117,981,46.75,2417,0,2417,2.14,2106,1129,977,46.39,2457,0,2457,2.14,2111,1148,963,45.61
"113",1,"52550","Mountain Village",1320,0,1320,1.75,2066,751,1315,63.64,1313,0,1313,1.75,2066,747,1319,63.84,1330,0,1330,1.75,2072,757,1315,63.46,1346,0,1346,1.75,2075,766,1309,63.08,1357,0,1357,1.75,2079,772,1307,62.86,1378,0,1378,1.75,2082,784,1298,62.34
"113",1,"54880","Norwood",518,0,518,2.40,249,215,34,13.65,517,0,517,2.40,250,215,35,14.00,527,0,527,2.40,252,219,33,13.09,536,0,536,2.41,254,222,32,12.59,542,0,542,2.40,255,225,30,11.76,552,0,552,2.41,256,229,27,10.54
"113",1,"55870","Ophir",159,0,159,2.69,64,59,5,7.81,180,0,180,2.68,73,67,6,8.21,182,0,182,2.67,73,68,5,6.84,184,0,184,2.70,73,68,5,6.84,185,0,185,2.68,73,69,4,5.47,191,0,191,2.69,74,71,3,4.05
"113",1,"99990","Unincorp. Area",2997,9,2988,2.25,2166,1325,841,38.82,2987,9,2978,2.25,2171,1321,850,39.15,3045,9,3036,2.25,2190,1346,844,38.53,3102,9,3093,2.25,2209,1372,837,37.89,3141,9,3132,2.25,2221,1389,832,37.46,3204,9,3195,2.25,2234,1417,817,36.57
